City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Provideniya,64.3833,-173.3,-2.09,65,100,6.71,RU,1675822214
1,Abha,18.2164,42.5053,51.62,87,0,0.0,SA,1675821989
2,Port Alfred,-33.5906,26.891,69.19,89,100,1.99,ZA,1675822235
3,Nanortalik,60.1432,-45.2371,4.66,73,10,19.8,GL,1675822236
4,Rikitea,-23.1203,-134.9692,79.97,68,10,9.95,PF,1675822237
5,Guerrero Negro,27.9769,-114.0611,64.89,30,0,6.46,MX,1675822239
6,Punta Arenas,-53.15,-70.9167,51.91,82,0,4.61,CL,1675822054
7,Havre-Saint-Pierre,50.2334,-63.5986,15.04,79,100,12.55,CA,1675822239
8,Ulety,51.3572,112.4849,7.39,82,48,3.15,RU,1675822240
9,Cayenne,4.9333,-52.3333,77.04,94,75,3.44,GF,1675822241
10,Bathsheba,13.2167,-59.5167,74.01,94,40,11.5,BB,1675822241
11,El Dorado,38.7666,-120.5177,46.18,82,100,3.0,US,1675822242
12,Vaini,-21.2,-175.2,84.36,79,75,6.91,TO,1675822243
13,Upernavik,72.7868,-56.1549,-22.16,96,48,4.0,GL,1675822243
14,Ushuaia,-54.8,-68.3,45.36,86,98,6.29,AR,1675822173
15,Vao,-22.6667,167.4833,80.22,70,13,13.44,NC,1675821982
16,Broken Hill,-31.95,141.4333,85.69,16,0,11.34,AU,1675822244
17,Kieta,-6.2167,155.6333,85.5,69,34,8.77,PG,1675822245
18,Cape Town,-33.9258,18.4232,69.91,73,0,14.0,ZA,1675822245
19,Georgetown,5.4112,100.3354,82.33,69,20,8.05,MY,1675822203
20,Dikson,73.5069,80.5464,-8.27,90,100,21.77,RU,1675822090
21,Atuona,-9.8,-139.0333,79.29,74,28,16.49,PF,1675822246
22,Leningradskiy,69.3833,178.4167,-24.12,96,100,4.9,RU,1675821653
23,Neuquen,-38.9516,-68.0591,85.19,11,0,10.69,AR,1675822247
24,New Norfolk,-42.7826,147.0587,62.92,33,6,3.24,AU,1675822247
25,Albany,42.6001,-73.9662,34.27,79,100,3.0,US,1675822092
26,Shimoda,34.6667,138.95,49.1,72,47,7.05,JP,1675822248
27,Grindavik,63.8424,-22.4338,26.55,86,75,37.98,IS,1675822249
28,Tessalit,20.1986,1.0114,69.62,14,68,8.3,ML,1675822249
29,Beira,-19.8436,34.8389,77.09,100,20,4.61,MZ,1675822250
30,Bintulu,3.1667,113.0333,78.44,83,99,1.88,MY,1675822250
31,Petropavlovsk-Kamchatskiy,53.0452,158.6483,14.59,48,20,6.71,RU,1675822251
32,Nikolskoye,59.7035,30.7861,30.09,86,100,10.07,RU,1675822251
33,Tiksi,71.6872,128.8694,-33.0,99,100,5.57,RU,1675822252
34,Arifwala,30.294,73.0735,52.29,40,23,3.69,PK,1675822252
35,Faanui,-16.4833,-151.75,81.1,73,24,12.15,PF,1675822253
36,Malibu,34.005,-118.8101,65.86,44,8,1.01,US,1675822229
37,Castro,-24.7911,-50.0119,62.19,93,62,5.28,BR,1675822125
38,Mataura,-46.1927,168.8643,56.48,65,73,10.71,NZ,1675822176
39,Thoen,17.6129,99.2161,80.46,29,0,1.92,TH,1675822254
40,San Quintin,30.4833,-115.95,59.27,51,0,4.5,MX,1675822254
41,Ouegoa,-20.35,164.4333,78.98,87,100,4.43,NC,1675822255
42,Bredasdorp,-34.5322,20.0403,65.37,79,11,7.07,ZA,1675822082
43,Kodiak,57.79,-152.4072,27.91,50,0,16.11,US,1675822190
44,Kurchum,48.5722,83.6542,2.5,98,90,1.52,KZ,1675822256
45,East London,-33.0153,27.9116,70.68,84,100,11.59,ZA,1675822148
46,Kaeo,-35.1,173.7833,81.32,60,27,6.8,NZ,1675822257
47,Manggar,-2.8833,108.2667,81.93,75,100,5.44,ID,1675822047
48,Iqaluit,63.7506,-68.5145,-18.18,96,100,2.75,CA,1675822257
49,Yumen,40.2833,97.2,27.64,53,21,11.32,CN,1675822258
50,Vanavara,60.34,102.2797,-0.6,97,100,2.39,RU,1675822259
51,Venado Tuerto,-33.7456,-61.9688,79.77,32,0,4.45,AR,1675822259
52,San Vicente,-26.6167,-54.1333,69.24,48,5,2.3,AR,1675822260
53,Nuuk,64.1835,-51.7216,7.88,78,100,5.01,GL,1675822260
54,Lebu,-37.6167,-73.65,58.95,88,0,17.31,CL,1675822149
55,Hilo,19.7297,-155.09,77.29,89,100,12.66,US,1675822087
56,Evensk,61.95,159.2333,-15.95,76,59,6.78,RU,1675822264
57,Ayagoz,47.9714,80.4392,19.96,95,100,0.85,KZ,1675822266
58,Tocopilla,-22.092,-70.1979,73.99,77,15,5.75,CL,1675822267
59,Solnechnyy,50.7214,136.6319,-4.76,81,79,7.7,RU,1675822269
60,Hay River,60.8156,-115.7999,-4.02,77,40,4.61,CA,1675821971
61,Villavicencio,4.142,-73.6266,80.29,56,96,3.27,CO,1675822270
62,Cabo San Lucas,22.8909,-109.9124,70.52,65,40,4.61,MX,1675822161
63,Oleksandrivka,48.9634,32.2349,18.77,82,6,10.76,UA,1675822272
64,Haines Junction,60.7522,-137.5108,14.43,97,24,4.25,CA,1675822273
65,Sakakah,29.9697,40.2064,44.37,66,4,14.7,SA,1675822274
66,Ouesso,1.6136,16.0517,68.67,62,38,2.48,CG,1675822275
67,Airai,-8.9266,125.4092,70.03,78,77,3.13,TL,1675822276
68,Schenefeld,53.6028,9.8233,26.46,84,0,4.61,DE,1675822276
69,Tarut,26.5733,50.0369,64.6,58,99,17.67,SA,1675822180
70,Clyde River,70.4692,-68.5914,-31.16,98,93,3.02,CA,1675822279
71,Mwinilunga,-11.7358,24.4293,59.9,98,100,3.74,ZM,1675822280
72,Gamba,-2.65,10.0,76.05,84,56,2.46,GA,1675821993
73,Russkaya Polyana,49.417,31.9201,18.05,88,6,7.96,UA,1675822281
74,Kenai,60.5544,-151.2583,28.49,97,100,11.5,US,1675822282
75,Ulladulla,-35.35,150.4667,67.57,83,100,4.0,AU,1675822283
76,Port Blair,11.6667,92.75,80.64,74,40,9.22,IN,1675822284
77,Hobart,-42.8794,147.3294,63.27,68,75,14.97,AU,1675822285
78,Nizhnevartovsk,60.9344,76.5531,-21.98,69,0,2.24,RU,1675822286
79,Ilulissat,69.2167,-51.1,-16.58,76,75,6.91,GL,1675822288
80,Kapaa,22.0752,-159.319,79.12,86,75,16.11,US,1675822186
81,Key Largo,25.0865,-80.4473,74.98,72,9,16.6,US,1675822152
82,Inhambane,-23.865,35.3833,77.67,87,8,6.71,MZ,1675822290
83,Atasu,48.6814,71.6433,2.62,96,100,5.35,KZ,1675822291
84,Avarua,-21.2078,-159.775,84.25,74,28,11.5,CK,1675822292
85,Alofi,-19.0595,-169.9187,82.29,78,75,10.36,NU,1675822294
86,Hermanus,-34.4187,19.2345,67.8,83,0,11.83,ZA,1675822294
87,Mar Del Plata,-38.0023,-57.5575,74.08,93,0,18.99,AR,1675822059
88,Port Hardy,50.6996,-127.4199,39.38,93,75,5.75,CA,1675822295
89,Taytay,14.5678,121.1394,87.73,67,75,5.75,PH,1675822296
90,Leshukonskoye,64.8989,45.7622,33.12,98,100,10.51,RU,1675822296
91,Chuy,-33.6971,-53.4616,70.7,80,27,7.38,UY,1675822258
92,Lavrentiya,65.5833,-171.0,-14.3,92,97,2.77,RU,1675822297
93,Shirokiy,49.758,129.523,-7.58,85,99,1.19,RU,1675822298
94,Itamaraca,-7.7478,-34.8256,80.65,73,100,7.56,BR,1675822298
95,Victoria,22.2855,114.1577,66.38,85,97,15.01,HK,1675822054
96,Nioro,13.35,-15.75,74.5,18,6,8.3,GM,1675822299
97,Saraland,30.8207,-88.0706,66.31,85,78,5.55,US,1675822300
98,Puerto Ayora,-0.7393,-90.3518,79.56,92,52,7.0,EC,1675822092
99,Haimen,23.1935,116.6142,63.54,77,31,22.77,CN,1675822300
100,Severo-Kurilsk,50.6789,156.125,24.82,54,12,9.55,RU,1675822301
101,Muros,42.7762,-9.0603,44.1,82,52,18.39,ES,1675822095
102,Sao Joao Da Barra,-21.6403,-41.0511,74.68,92,100,5.39,BR,1675822300
103,Alyangula,-13.8483,136.4192,86.56,65,100,4.03,AU,1675822302
104,Jasper,37.2001,-94.3502,42.85,82,40,3.44,US,1675822037
105,Richards Bay,-28.783,32.0377,72.5,97,3,3.2,ZA,1675822303
106,Vuktyl,63.8567,57.3094,11.66,94,100,14.23,RU,1675822303
107,Fairmount,43.0473,-76.2385,46.15,72,100,13.8,US,1675822304
108,Aban,56.67,96.06,18.57,96,100,4.5,RU,1675822304
109,Hasaki,35.7333,140.8333,48.6,68,100,21.07,JP,1675822305
110,Bethel,41.3712,-73.414,37.76,78,100,3.44,US,1675822305
111,Ostersund,63.1792,14.6357,34.25,80,20,12.66,SE,1675822306
112,Arraial Do Cabo,-22.9661,-42.0278,75.16,91,100,4.38,BR,1675822273
113,Polyany,54.7122,39.8231,8.69,98,74,4.43,RU,1675822307
114,Bambous Virieux,-20.3428,57.7575,79.05,83,40,11.5,MU,1675822190
115,Half Moon Bay,37.4636,-122.4286,57.33,73,0,13.8,US,1675822039
116,Barrow,71.2906,-156.7887,1.42,78,100,5.75,US,1675822144
117,Shingu,33.7333,135.9833,57.33,40,7,4.59,JP,1675822308
118,Yellowknife,62.456,-114.3525,-1.53,95,100,6.98,CA,1675822191
119,Yulara,-25.2406,130.9889,96.04,18,0,6.73,AU,1675822069
120,Carnarvon,-24.8667,113.6333,83.84,52,0,15.75,AU,1675822309
121,Levokumskoye,44.8219,44.6606,21.6,95,100,11.81,RU,1675822309
122,Ribeira Grande,38.5167,-28.7,55.78,64,9,7.0,PT,1675822310
123,Jiangmen,22.5833,113.0833,70.99,72,94,12.15,CN,1675822310
124,Esperance,-33.8667,121.9,70.57,66,88,10.98,AU,1675822117
125,Malinovoye Ozero,51.6753,79.7825,-6.56,100,100,3.0,RU,1675822311
126,Geraldton,-28.7667,114.6,81.01,54,0,8.05,AU,1675822312
127,Auki,-8.7676,160.7034,83.48,77,100,6.24,SB,1675822268
128,Shchors,51.8186,31.945,13.91,94,6,5.7,UA,1675822313
129,Chokurdakh,70.6333,147.9167,-36.67,99,100,3.62,RU,1675822155
130,Tchibanga,-2.85,11.0333,70.72,96,88,0.58,GA,1675822313
131,Kaitangata,-46.2817,169.8464,58.91,49,11,15.39,NZ,1675822205
132,Bluff,-46.6,168.3333,56.8,61,62,26.26,NZ,1675822067
133,Qaanaaq,77.484,-69.3632,-25.2,67,4,6.24,GL,1675822070
134,Takoradi,4.8845,-1.7554,77.97,87,100,4.61,GH,1675822315
135,Busselton,-33.65,115.3333,75.96,50,0,5.73,AU,1675822181
136,Tasiilaq,65.6145,-37.6368,-0.24,37,0,28.32,GL,1675822315
137,Klaksvik,62.2266,-6.589,47.32,84,100,56.8,FO,1675822316
138,Chik,54.9928,82.4311,-2.27,84,100,8.95,RU,1675822317
139,Fort Nelson,58.8053,-122.7002,13.55,96,5,2.82,CA,1675822318
140,Tuktoyaktuk,69.4541,-133.0374,-21.1,94,100,4.0,CA,1675822171
141,Norman Wells,65.282,-126.8329,-9.04,99,88,2.06,CA,1675822158
142,Ponta Do Sol,32.6667,-17.1,60.71,68,36,7.74,PT,1675822297
143,Jalingo,8.8833,11.3667,74.07,19,82,4.54,NG,1675822319
144,Port Elizabeth,-33.918,25.5701,68.31,93,100,3.0,ZA,1675822320
145,Jawhar,2.7809,45.5005,72.18,89,5,8.93,SO,1675822320
146,Riyadh,24.6877,46.7219,53.74,42,21,4.74,SA,1675822186
147,Paita,-5.0892,-81.1144,75.29,83,69,7.78,PE,1675822321
148,Linxia,35.6003,103.2064,28.62,86,100,5.28,CN,1675822322
149,Salalah,17.0151,54.0924,68.09,52,0,6.91,OM,1675822235
150,Tateyama,34.9833,139.8667,52.11,71,100,14.88,JP,1675822324
151,Huarmey,-10.0681,-78.1522,72.45,83,6,5.97,PE,1675822124
152,Pevek,69.7008,170.3133,-21.59,93,100,2.93,RU,1675822326
153,Ketchikan,55.3422,-131.6461,39.18,93,100,4.61,US,1675822327
154,Fairbanks,64.8378,-147.7164,6.6,80,100,0.0,US,1675822137
155,Ugoofaaru,5.6667,73.0,80.46,67,16,6.49,MV,1675822328
156,Ushumun,52.7833,126.5333,-12.66,85,20,5.06,RU,1675822329
157,Puerto Del Rosario,28.5004,-13.8627,56.95,72,0,6.91,ES,1675822330
158,Nancha,47.1333,129.2667,10.58,72,65,0.98,CN,1675822331
159,Tabas,33.5959,56.9244,53.71,66,1,8.97,IR,1675822332
160,Tommot,58.9564,126.2925,-18.38,95,100,1.81,RU,1675822334
161,Hithadhoo,-0.6,73.0833,81.14,72,13,8.01,MV,1675822334
162,Presidencia Roque Saenz Pena,-26.7852,-60.4388,83.61,35,35,2.75,AR,1675822336
163,Shumskiy,54.8318,99.1328,13.26,85,100,3.02,RU,1675822337
164,Coquimbo,-29.9533,-71.3436,64.13,88,75,4.61,CL,1675822339
165,Umm Lajj,25.0213,37.2685,61.29,57,93,9.6,SA,1675822340
166,Matinhos,-25.8175,-48.5428,75.6,85,9,5.99,BR,1675822343
167,Bandarbeyla,9.4942,50.8122,76.95,75,98,15.61,SO,1675822346
168,Souillac,-20.5167,57.5167,79.18,83,40,11.5,MU,1675822244
169,Mount Isa,-20.7333,139.5,89.37,58,40,9.22,AU,1675822353
170,Inhapim,-19.5492,-42.12,70.95,91,100,2.39,BR,1675822353
171,Kavieng,-2.5744,150.7967,81.66,79,99,8.95,PG,1675822354
172,Lethem,3.3803,-59.7968,78.39,73,29,11.1,GY,1675822354
173,Saint-Joseph,-21.3667,55.6167,75.58,80,70,14.0,RE,1675822262
174,Teseney,15.11,36.6575,65.39,73,3,8.43,ER,1675822355
175,Sao Jose Da Coroa Grande,-8.8978,-35.1478,76.95,71,100,6.24,BR,1675822356
176,Thompson,55.7435,-97.8558,6.67,96,100,4.47,CA,1675822356
177,Mount Gambier,-37.8333,140.7667,72.46,44,18,10.65,AU,1675822357
178,Stryn,61.9045,6.7226,45.48,96,74,11.23,NO,1675822357
179,Baisha,26.5222,110.9311,47.39,96,100,3.36,CN,1675822358
180,Jamestown,42.097,-79.2353,41.02,90,100,13.8,US,1675822353
181,Vestmannaeyjar,63.4427,-20.2734,32.59,57,100,36.6,IS,1675822251
182,Saint-Philippe,-21.3585,55.7679,76.59,83,90,14.14,RE,1675822359
183,Soligalich,59.0778,42.2864,15.87,94,100,8.86,RU,1675822359
184,Codrington,-38.2667,141.9667,66.02,60,87,15.37,AU,1675822249
185,Nishihara,26.1842,127.7558,71.26,71,40,16.11,JP,1675822073
186,Rio Cuarto,-33.1307,-64.3499,77.47,35,0,9.48,AR,1675822361
187,Padang,-0.9492,100.3543,80.65,58,79,1.23,ID,1675822361
188,Pangkalanbuun,-2.6833,111.6167,85.96,61,81,4.32,ID,1675822362
189,Sept-Iles,50.2001,-66.3821,20.05,86,100,10.0,CA,1675822083
190,Derzhavinsk,51.1,66.3167,-4.54,100,97,7.02,KZ,1675822362
191,Sladkovo,55.5284,70.3385,-12.17,100,88,5.73,RU,1675822363
192,Khatanga,71.9667,102.5,-47.52,100,64,2.82,RU,1675822363
193,Aviles,43.5547,-5.9248,40.39,75,0,4.61,ES,1675822115
194,Mogadishu,2.0371,45.3438,75.88,85,10,16.17,SO,1675822364
195,Klyuchi,52.2667,79.1667,-8.01,100,94,3.27,RU,1675822365
196,Koumac,-20.5667,164.2833,79.38,86,100,7.43,NC,1675822365
197,San Patricio,28.017,-97.5169,73.35,80,94,13.91,US,1675822154
198,Bartica,6.4,-58.6167,77.32,99,12,1.81,GY,1675822366
199,Dunedin,-45.8742,170.5036,60.58,46,61,17.11,NZ,1675822367
200,Pangnirtung,66.1451,-65.7125,-28.79,84,6,5.26,CA,1675822367
201,Saint George,37.1041,-113.5841,48.94,43,0,6.91,US,1675822127
202,Alice Springs,-23.7,133.8833,92.75,40,0,12.66,AU,1675822368
203,Vila Velha,-20.3297,-40.2925,80.55,89,40,8.05,BR,1675822082
204,Narsaq,60.9167,-46.05,-3.78,63,0,8.05,GL,1675822150
205,Karratha,-20.7377,116.8463,93.04,40,36,7.25,AU,1675822369
206,Esqueda,30.7167,-109.5833,45.18,27,0,8.21,MX,1675822369
207,Bacolod,10.6667,122.95,82.0,69,100,11.88,PH,1675822370
208,Wexford,52.3342,-6.4575,42.89,96,59,1.99,IE,1675822370
209,Naliya,23.2667,68.8333,65.41,62,33,5.68,IN,1675822371
210,Casper,42.8666,-106.3131,27.19,74,0,20.71,US,1675822247
211,Mackay,-21.15,149.2,85.68,80,97,21.16,AU,1675822347
212,Farah,32.5,62.5,49.39,58,100,2.33,AF,1675822372
213,Saskylakh,71.9167,114.0833,-29.04,100,100,0.72,RU,1675822373
214,Constitucion,-35.3333,-72.4167,59.67,71,0,9.24,CL,1675822373
215,Trairi,-3.2778,-39.2689,77.47,81,100,7.45,BR,1675822189
216,Saint Anthony,45.0205,-93.218,28.49,80,0,5.75,US,1675822374
217,San Lazaro,18.0387,-88.6622,70.36,98,7,4.52,BZ,1675822375
218,Manta,-0.95,-80.7333,80.38,74,75,6.91,EC,1675822375
219,Beringovskiy,63.05,179.3167,-17.14,94,82,7.72,RU,1675822348
220,Uniao,-4.5858,-42.8642,72.45,98,100,1.88,BR,1675822376
221,Aklavik,68.2191,-135.0107,-20.33,95,100,7.99,CA,1675822376
222,Beisfjord,68.3751,17.5988,39.25,94,100,10.09,NO,1675822377
223,Ocos,14.5094,-92.1933,73.58,69,17,4.97,GT,1675822377
224,Butaritari,3.0707,172.7902,80.94,81,100,21.92,KI,1675822378
225,Ambanja,-13.6833,48.45,73.08,91,100,2.91,MG,1675822378
226,Tres Lagoas,-20.7511,-51.6783,71.24,84,100,2.3,BR,1675822379
227,Benguela,-12.5763,13.4055,73.44,77,100,3.71,AO,1675822379
228,Palmer,42.1584,-72.3287,33.85,78,100,8.05,US,1675822191
229,Roald,62.5833,6.1333,45.52,57,76,19.57,NO,1675822249
230,Mahibadhoo,3.7833,72.9667,80.51,67,66,5.61,MV,1675822380
231,Sitka,57.0531,-135.33,37.29,81,100,0.0,US,1675822127
232,Namibe,-15.1961,12.1522,70.02,75,95,4.68,AO,1675822165
233,Asau,46.4333,26.4,22.12,97,97,4.41,RO,1675822381
234,San Mateo Del Mar,16.2,-95.0,77.63,76,0,11.5,MX,1675822384
235,Kiknur,57.3034,47.2011,7.63,93,100,9.19,RU,1675822385
236,Alugan,12.2188,125.4808,81.05,74,100,14.14,PH,1675822386
237,Kuhdasht,33.535,47.6061,36.43,78,97,5.86,IR,1675822388
238,Coxim,-18.5067,-54.76,70.7,92,100,3.15,BR,1675822390
239,Taoudenni,22.6783,-3.9836,63.75,20,100,11.43,ML,1675822391
240,Pisco,-13.7,-76.2167,75.25,83,0,11.5,PE,1675822255
241,Port Macquarie,-31.4333,152.9167,78.89,62,85,6.15,AU,1675822393
242,Yeppoon,-23.1333,150.7333,82.18,65,99,20.87,AU,1675822393
243,Chancay,-11.5714,-77.2672,73.8,84,56,5.1,PE,1675822394
244,Acapulco,16.8634,-99.8901,80.42,69,20,8.05,MX,1675822391
245,Maraa,-1.8333,-65.3667,73.4,98,91,2.44,BR,1675822395
246,Skelleftea,64.7507,20.9528,28.76,93,80,4.61,SE,1675822396
247,Polewali,-3.4324,119.3435,87.1,52,36,2.46,ID,1675822398
248,Cherskiy,68.75,161.3,-28.8,96,100,5.5,RU,1675822183
249,Dolni Dabnik,43.4,24.4333,22.82,86,40,4.61,BG,1675822401
250,Saint-Augustin,51.226,-58.6502,-3.28,86,17,5.14,CA,1675822403
251,El Tarra,8.5756,-73.0949,75.74,89,83,1.77,CO,1675822404
252,Sola,-13.8833,167.55,81.9,77,94,14.63,VU,1675822405
253,Champerico,14.3,-91.9167,78.66,70,7,6.58,GT,1675822408
254,Morant Bay,17.8815,-76.4093,75.16,82,12,12.01,JM,1675822410
255,Mahebourg,-20.4081,57.7,79.09,83,40,11.5,MU,1675822412
256,Mayo,38.8876,-76.5119,47.86,80,20,6.91,US,1675822412
257,Lompoc,34.6391,-120.4579,57.34,84,0,8.01,US,1675822169
258,Bowen,-20.0167,148.2333,83.32,74,100,17.18,AU,1675822413
259,Laguna,38.421,-121.4238,54.68,67,100,3.56,US,1675822292
260,Coihaique,-45.5752,-72.0662,62.55,67,75,2.3,CL,1675822273
261,Saldanha,-33.0117,17.9442,64.02,89,0,13.2,ZA,1675822415
262,Aleksandrov,56.4,38.71,6.91,95,66,6.22,RU,1675822416
263,Shushtar,32.0455,48.8567,51.91,59,0,2.59,IR,1675822417
264,Vardo,70.3705,31.1107,30.18,80,8,20.71,NO,1675822417
265,Isangel,-19.55,169.2667,86.11,79,100,3.44,VU,1675822418
266,Ixtapa,20.7,-105.2,72.63,78,0,6.91,MX,1675822418
267,Lorengau,-2.0226,147.2712,77.9,95,100,15.64,PG,1675822241
268,Puri,19.8,85.85,68.52,73,9,10.16,IN,1675822419
269,Jacksonville,30.3322,-81.6556,63.99,85,0,5.75,US,1675822311
270,Cascais,38.6979,-9.4215,49.93,72,12,11.99,PT,1675822328
271,Tarko-Sale,64.9225,77.785,-15.83,100,99,5.99,RU,1675822420
272,Lagunas,-5.2269,-75.6753,73.63,88,51,2.13,PE,1675822421
273,Burnie,-41.0667,145.9167,61.93,74,99,8.59,AU,1675822421
274,Kirakira,-10.4544,161.9205,82.6,83,100,9.46,SB,1675822422
275,Ancud,-41.8697,-73.8203,57.36,94,0,3.62,CL,1675822141
276,Mercedes,-34.6515,-59.4307,79.79,37,0,9.64,AR,1675822423
277,Maniitsoq,65.4167,-52.9,0.66,90,100,9.46,GL,1675822423
278,Pangai,-19.8,-174.35,79.95,78,67,17.85,TO,1675822424
279,Concordia,-31.393,-58.0209,79.79,40,0,8.01,AR,1675822285
280,Caravelas,-17.7125,-39.2481,77.4,81,4,8.08,BR,1675822424
281,Pontianak,-0.0333,109.3333,80.58,78,20,2.3,ID,1675822425
282,Kavaratti,10.5669,72.642,79.74,71,97,11.52,IN,1675822425
283,Bairiki,1.3292,172.9752,86.0,66,40,14.97,KI,1675822426
284,Saint-Georges,12.0564,-61.7485,76.37,83,96,13.31,GD,1675822426
285,Bubaque,11.2833,-15.8333,75.31,68,5,15.61,GW,1675822427
286,Belgrade,44.804,20.4651,25.34,83,20,6.91,RS,1675822427
287,Villamontes,-21.25,-63.5,70.9,95,100,3.8,BO,1675822428
288,Nivala,63.9167,24.9667,23.29,99,69,4.52,FI,1675822428
289,Marsa Matruh,31.3525,27.2453,51.98,75,91,8.66,EG,1675822429
290,Villareal,11.5659,124.9281,82.8,65,100,8.19,PH,1675822429
